as_of,variant,symbol,cls,score,bias,r5,r15,r30
2023-05-02,V5.FULL,NZDCAD,fx,-1.9841269841269837,Bearish,,,
2023-05-02,V5.FULL,CADCHF,fx,1.746031746031746,Bullish,,,
2023-05-02,V5.FULL,DJIA,cross-asset,-2.083333333333333,Bearish,,,
2023-05-02,V5.FULL,SP500,cross-asset,-2.083333333333333,Bearish,,,
2023-05-02,V5.FULL,NASDAQ,cross-asset,-2.083333333333333,Bearish,,,
2023-05-02,V5.FULL,DAX,cross-asset,-3.333333333333333,Bearish,,,
2023-05-03,V5.T,FTSE100,cross-asset,10.0,Very Bullish,0.37661920565249973,0.3309736644898833,0.420096884701852
2023-05-03,V5.TS,US-DOLLAR,single,15.0,Very Bullish,,,
2023-05-03,V5.TS,EURUSD,fx,7.5,Very Bullish,,,
2023-05-03,V5.TS,GBPUSD,fx,7.5,Very Bullish,,,
2023-05-03,V5.TS,USDJPY,fx,-7.5,Very Bearish,,,
2023-05-03,V5.TS,USDCHF,fx,-7.5,Very Bearish,,,
2023-05-03,V5.TS,USDCAD,fx,-7.5,Very Bearish,,,
2023-05-03,V5.TS,AUDUSD,fx,7.5,Very Bullish,,,
2023-05-03,V5.TS,NZDUSD,fx,7.5,Very Bullish,,,
2023-05-03,V5.TS,FTSE100,cross-asset,10.0,Very Bullish,0.37661920565249973,0.3309736644898833,0.420096884701852
2023-05-03,V5.TS,GOLD,cross-asset,15.0,Very Bullish,,,
2023-05-03,V5.TS,SILVER,cross-asset,15.0,Very Bullish,,,
2023-05-03,V5.NOF,US-DOLLAR,single,5.0,Very Bullish,,,
2023-05-03,V5.NOF,EURUSD,fx,2.5,Bullish,,,
2023-05-03,V5.NOF,GBPUSD,fx,2.5,Bullish,,,
2023-05-03,V5.NOF,USDJPY,fx,-2.5,Bearish,,,
2023-05-03,V5.NOF,USDCHF,fx,-7.5,Very Bearish,,,
2023-05-03,V5.NOF,USDCAD,fx,-2.5,Bearish,,,
2023-05-03,V5.NOF,AUDUSD,fx,4.166666666666667,Very Bullish,,,
2023-05-03,V5.NOF,NZDUSD,fx,7.5,Very Bullish,,,
2023-05-03,V5.NOF,EURCHF,fx,-5.0,Very Bearish,,,
2023-05-03,V5.NOF,EURAUD,fx,-1.666666666666667,Bearish,,,
2023-05-03,V5.NOF,EURNZD,fx,-5.0,Very Bearish,,,
2023-05-03,V5.NOF,GBPCHF,fx,-5.0,Very Bearish,,,
2023-05-03,V5.NOF,GBPAUD,fx,-1.666666666666667,Bearish,,,
2023-05-03,V5.NOF,GBPNZD,fx,-5.0,Very Bearish,,,
2023-05-03,V5.NOF,AUDJPY,fx,1.666666666666667,Bullish,,,
2023-05-03,V5.NOF,NZDJPY,fx,5.0,Very Bullish,,,
2023-05-03,V5.NOF,CHFJPY,fx,5.0,Very Bullish,,,
2023-05-03,V5.NOF,AUDNZD,fx,-3.333333333333333,Very Bearish,,,
2023-05-03,V5.NOF,AUDCAD,fx,1.666666666666667,Bullish,,,
2023-05-03,V5.NOF,AUDCHF,fx,-3.333333333333333,Very Bearish,,,
2023-05-03,V5.NOF,NZDCAD,fx,5.0,Very Bullish,,,
2023-05-03,V5.NOF,CADCHF,fx,-5.0,Very Bearish,,,
2023-05-03,V5.NOF,DJIA,cross-asset,-3.333333333333333,Bearish,,,
2023-05-03,V5.NOF,SP500,cross-asset,-3.333333333333333,Bearish,,,
2023-05-03,V5.NOF,NASDAQ,cross-asset,-3.333333333333333,Bearish,,,
2023-05-03,V5.NOF,DAX,cross-asset,-3.333333333333333,Bearish,,,
2023-05-03,V5.NOF,NIKKEI,cross-asset,-3.333333333333333,Bearish,,,
2023-05-03,V5.NOF,GOLD,cross-asset,2.7777777777777777,Bullish,,,
2023-05-03,V5.NOF,SILVER,cross-asset,2.7777777777777777,Bullish,,,
2023-05-03,V5.HALF,US-DOLLAR,single,1.5972222222222223,Bullish,,,
2023-05-03,V5.HALF,EURUSD,fx,1.7916666666666665,Bullish,,,
2023-05-03,V5.HALF,GBPUSD,fx,2.763888888888889,Bullish,,,
2023-05-03,V5.HALF,USDJPY,fx,-2.625,Bearish,,,
2023-05-03,V5.HALF,USDCAD,fx,-2.0694444444444446,Bearish,,,
2023-05-03,V5.HALF,AUDUSD,fx,2.208333333333333,Bullish,,,
2023-05-03,V5.HALF,NZDUSD,fx,1.9999999999999996,Bullish,,,
2023-05-03,V5.HALF,GBPCHF,fx,1.5972222222222223,Bullish,,,
2023-05-03,V5.HALF,CHFJPY,fx,-1.4583333333333335,Bearish,,,
2023-05-03,V5.HALF,DJIA,cross-asset,-2.333333333333333,Bearish,,,
2023-05-03,V5.HALF,SP500,cross-asset,-2.333333333333333,Bearish,,,
2023-05-03,V5.HALF,NASDAQ,cross-asset,-2.333333333333333,Bearish,,,
2023-05-03,V5.HALF,DAX,cross-asset,-3.333333333333333,Bearish,,,
2023-05-03,V5.HALF,GOLD,cross-asset,1.96969696969697,Bullish,,,
2023-05-03,V5.HALF,SILVER,cross-asset,1.96969696969697,Bullish,,,
2023-05-03,V5.FULL,EURUSD,fx,1.5104166666666665,Bullish,,,
2023-05-03,V5.FULL,GBPUSD,fx,2.806712962962963,Bullish,,,
2023-05-03,V5.FULL,USDJPY,fx,-2.6215277777777777,Bearish,,,
2023-05-03,V5.FULL,USDCAD,fx,-1.8807870370370372,Bearish,,,
2023-05-03,V5.FULL,AUDUSD,fx,1.5104166666666665,Bullish,,,
2023-05-03,V5.FULL,GBPCHF,fx,2.4867724867724865,Bullish,,,
2023-05-03,V5.FULL,GBPNZD,fx,1.534391534391534,Bullish,,,
2023-05-03,V5.FULL,NZDJPY,fx,-1.3492063492063493,Bearish,,,
2023-05-03,V5.FULL,CHFJPY,fx,-2.3015873015873014,Bearish,,,
2023-05-03,V5.FULL,CADCHF,fx,1.560846560846561,Bullish,,,
2023-05-03,V5.FULL,DJIA,cross-asset,-2.083333333333333,Bearish,,,
2023-05-03,V5.FULL,SP500,cross-asset,-2.083333333333333,Bearish,,,
2023-05-03,V5.FULL,NASDAQ,cross-asset,-2.083333333333333,Bearish,,,
